@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F7

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5,3.6,1.4,0.2,Iris-setosa
6.1,2.6,5.6,1.4,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6,2.2,4,1,Iris-versicolor
6.4,3.1,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,4.4,1.5,0.4,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor
7.4,2.8,6.1,1.9,Iris-virginica
6.6,2.9,4.6,1.3,Iris-versicolor
5,3.2,1.2,0.2,Iris-setosa
6.3,3.3,6,2.5,Iris-virginica
6.3,2.3,4.4,1.3,Iris-versicolor
