@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F2

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5.7,2.6,3.5,1,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
6.5,3,5.5,1.8,Iris-virginica
6.6,3,4.4,1.4,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor
5,3.5,1.3,0.3,Iris-setosa
7.1,3,5.9,2.1,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
4.6,3.6,1,0.2,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
