@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F10

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5,3.4,1.6,0.4,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
6.3,2.8,5.1,1.5,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
5.5,2.5,4,1.3,Iris-versicolor
4.3,3,1.1,0.1,Iris-setosa
5.8,2.8,5.1,2.4,Iris-virginica
5.7,2.5,5,2,Iris-virginica
7,3.2,4.7,1.4,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
5.1,3.5,1.4,0.2,Iris-setosa
6.4,2.7,5.3,1.9,Iris-virginica
6.3,2.5,4.9,1.5,Iris-versicolor
7.7,3,6.1,2.3,Iris-virginica
