@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F6

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5.4,3.7,1.5,0.2,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.9,3,4.2,1.5,Iris-versicolor
5.1,3.8,1.6,0.2,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa
6.7,2.5,5.8,1.8,Iris-virginica
5,2,3.5,1,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.6,3,4.1,1.3,Iris-versicolor
7.2,3,5.8,1.6,Iris-virginica
7.7,2.8,6.7,2,Iris-virginica
5,2.3,3.3,1,Iris-versicolor
6.8,3,5.5,2.1,Iris-virginica
6.3,2.5,5,1.9,Iris-virginica
