@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F8

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
4.5,2.3,1.3,0.3,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
6.2,2.9,4.3,1.3,Iris-versicolor
6.4,3.2,5.3,2.3,Iris-virginica
5.7,2.8,4.5,1.3,Iris-versicolor
6.4,2.8,5.6,2.1,Iris-virginica
5.2,3.5,1.5,0.2,Iris-setosa
5.7,2.9,4.2,1.3,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
6,2.2,5,1.5,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
5.8,2.7,4.1,1,Iris-versicolor
6.2,3.4,5.4,2.3,Iris-virginica
6.5,3,5.8,2.2,Iris-virginica
6,3.4,4.5,1.6,Iris-versicolor
