@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F5

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
6,3,4.8,1.8,Iris-virginica
5.1,3.5,1.4,0.3,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
4.7,3.2,1.3,0.2,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
6.5,3.2,5.1,2,Iris-virginica
4.7,3.2,1.6,0.2,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
5.3,3.7,1.5,0.2,Iris-setosa
6.7,3.3,5.7,2.5,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
6.9,3.1,5.4,2.1,Iris-virginica
4.4,2.9,1.4,0.2,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa
