@relation iris-weka.filters.unsupervised.instance.RemoveFolds-S1-N10-F3

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
7.2,3.2,6,1.8,Iris-virginica
5.1,2.5,3,1.1,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
5.4,3.9,1.3,0.4,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
6.7,3.1,4.7,1.5,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
6.3,2.7,4.9,1.8,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
5,3.3,1.4,0.2,Iris-setosa
